source,target,group,value
Aerospace Product and Parts,Aircraft,mecs,0.023
Aerospace Product and Parts,boiler fuel,mecs,0.011
Aerospace Product and Parts,end use not reported,mecs,0.006
Aerospace Product and Parts,energy materials in products,mecs,0.002
Aerospace Product and Parts,nonprocess energy,mecs,0.028
Aerospace Product and Parts,process energy,mecs,0.02
Agriculture,Crops,food,0.494
Agriculture,Livestock,food,0.3
Air,Domestic Carriers,transport-people,1.430854248
Air,Freight Carriers,transport-people,0.142838211
Air,General Aviation,transport-people,0.133357666
Aircraft,boiler fuel,mecs,0.004
Aircraft,end use not reported,mecs,0.0
Aircraft,energy materials in products,mecs,0.0
Aircraft,nonprocess energy,mecs,0.012
Aircraft,process energy,mecs,0.005
Airport Lighting,Approach Systems,lighting,0.000204
Airport Lighting,Centerline Lights,lighting,0.000544
Airport Lighting,Taxiway/Runway Edge Lights,lighting,0.000476
Airport Lighting,Touchdown Lights,lighting,0.000408
Alumina and Aluminum,"Aluminum Sheet, Plate and Foils",mecs,0.062
Alumina and Aluminum,"Other Aluminum Rolling, Drawing and Extruding",mecs,0.021
Alumina and Aluminum,Secondary Smelting and Alloying of Aluminum,mecs,0.02
Alumina and Aluminum,boiler fuel,mecs,0.027
Alumina and Aluminum,end use not reported,mecs,0.008
Alumina and Aluminum,energy materials in products,mecs,0.011
Alumina and Aluminum,nonprocess energy,mecs,0.016
Alumina and Aluminum,process energy,mecs,0.191
"Aluminum Foundries, except Die-Casting",boiler fuel,mecs,0.0
"Aluminum Foundries, except Die-Casting",end use not reported,mecs,0.0
"Aluminum Foundries, except Die-Casting",energy materials in products,mecs,0.0
"Aluminum Foundries, except Die-Casting",nonprocess energy,mecs,0.002
"Aluminum Foundries, except Die-Casting",process energy,mecs,0.009
"Aluminum Sheet, Plate and Foils",boiler fuel,mecs,0.002
"Aluminum Sheet, Plate and Foils",end use not reported,mecs,0.002
"Aluminum Sheet, Plate and Foils",energy materials in products,mecs,0.0
"Aluminum Sheet, Plate and Foils",nonprocess energy,mecs,0.007
"Aluminum Sheet, Plate and Foils",process energy,mecs,0.051
Animal Slaughtering and Processing,boiler fuel,mecs,0.084
Animal Slaughtering and Processing,end use not reported,mecs,0.006
Animal Slaughtering and Processing,energy materials in products,mecs,0.0
Animal Slaughtering and Processing,nonprocess energy,mecs,0.034
Animal Slaughtering and Processing,process energy,mecs,0.075
Apartments in 2-4 Unit Buildings,Multi-Family,housing,0.686
Apartments in 5 or More Unit Buildings,Multi-Family,housing,0.884
Artificial and Synthetic Fibers and Filaments,boiler fuel,mecs,0.019
Artificial and Synthetic Fibers and Filaments,end use not reported,mecs,0.0
Artificial and Synthetic Fibers and Filaments,energy materials in products,mecs,0.0
Artificial and Synthetic Fibers and Filaments,nonprocess energy,mecs,0.002
Artificial and Synthetic Fibers and Filaments,process energy,mecs,0.013
Asphalt Paving Mixture and Block,boiler fuel,mecs,0.005
Asphalt Paving Mixture and Block,end use not reported,mecs,0.004
Asphalt Paving Mixture and Block,energy materials in products,mecs,0.373
Asphalt Paving Mixture and Block,nonprocess energy,mecs,0.002
Asphalt Paving Mixture and Block,process energy,mecs,0.045
Asphalt Shingle and Coating Materials,boiler fuel,mecs,0.003
Asphalt Shingle and Coating Materials,end use not reported,mecs,0.0
Asphalt Shingle and Coating Materials,energy materials in products,mecs,0.153
Asphalt Shingle and Coating Materials,nonprocess energy,mecs,0.001
Asphalt Shingle and Coating Materials,process energy,mecs,0.009
Auto-Other,0-5 Miles,transport-people,0.002727994914
Auto-Other,20-50 Miles,transport-people,0.01943087969
Auto-Other,5-19 Miles,transport-people,0.01847380764
Auto-Other,50+ Miles,transport-people,0.041103428
Automobiles,boiler fuel,mecs,0.002
Automobiles,end use not reported,mecs,0.001
Automobiles,energy materials in products,mecs,0.0
Automobiles,nonprocess energy,mecs,0.009
Automobiles,process energy,mecs,0.02
Balancing Item,Primary Natural Gas,,-0.01475933541
Beneficiation and Processing,Crushing,stuff,0.0519
Beneficiation and Processing,Grinding,stuff,0.4943
Beneficiation and Processing,Separations,stuff,0.0459
Beverage and Tobacco Products,Beverages,mecs,0.086
Beverage and Tobacco Products,Tobacco,mecs,0.009
Beverages,boiler fuel,mecs,0.037
